"","number","name","address","banking","bonus","status","contract_name","bike_stands","available_bike_stands","available_bikes","last_update","lat","lon","alt","nbstand200","nbstand500","nbstand1000","hr5","hr10","distcentre","distcentre2","distbord","RATP","RATP2","RATPtrafic","A","B","B1","C1","C2","C3","C4","C5","C6","C7","D","D1","E1","F1","F2","F3","Ga","Gb","gare","cinemas","cinemasfauteuils","cinemasseances","exp_distbord","exp_RATP","exp_RATP2","exp_A","exp_B","exp_B1","exp_C1","exp_C2","exp_C3","exp_C4","exp_C5","exp_C6","exp_C7","exp_D","exp_D1","exp_E1","exp_F1","exp_F2","exp_F3","exp_Ga","exp_Gb","exp_gare","exp_cinemas"
"1",31705,"31705 - CHAMPEAUX (BAGNOLET)","RUE DES CHAMPEAUX (PRES DE LA GARE ROUTIERE) - 93170 BAGNOLET",TRUE,TRUE,"OPEN","Paris",50,29,20,1464182518000,48.8645278209514,2.4161707244259,75.6242980957031,6,28,215,26.2446662902832,-16.9831161499023,7237.44244344783,8797.05315887194,3374.52888520886,106.159339430184,106.159339430184,6075015,142.023765128588,72.282481405827,158.95486181467,316.7372146929,621.491095422131,749.952341004404,278.329401016434,1356.32900697642,212.93816167498,1419.46703946389,142.023765128588,318.39509591432,170.700607006947,217.958287650999,2793.32338208668,165.965569741105,71.2625225325727,71.2625225325727,4836.87866873207,1571.43997434922,70,272,3.50714627109366e-50,0.893420384566544,0.893420384566544,0.817333964299496,0.949093869463863,0.776726891847749,0.366695076055386,0.0210151469717546,0.00360914225349321,0.460854660987099,1.02469703398199e-08,0.63544698967641,1.77606292680641e-09,0.817333964299496,0.362854130067512,0.747226466100007,0.621848893931829,1.29866653103876e-34,0.759233654784848,0.950484455532816,0.950484455532816,2.48364421972734e-102,1.88551330298767e-11
"2",10042,"10042 - POISSONNIÈRE - ENGHIEN","52 RUE D'ENGHIEN / ANGLE RUE DU FAUBOURG POISSONIERE - 75010 PARIS",TRUE,FALSE,"OPEN","Paris",33,11,22,1464182355000,48.8724200630531,2.34839523628281,35.9235992431641,20,163,923,-6.35671081542969,-49.1295974731445,1321.29139349676,5189.40756084269,6139.24322085385,203.657312393909,203.657312393909,4799450,151.986643591749,16.429471791737,547.504229750476,338.737894488454,666.126294718483,172.994515757791,168.867905009337,88.8057761078704,199.005955109572,1500.16665823083,44.0719327713163,203.362295823574,55.3719310146114,146.337903092639,6798.49433501075,199.621630655446,104.207628516494,13.166602283392,1132.99899944817,244.014258092065,525,301,2.05624602628556e-164,0.660496794009906,0.660496794009906,0.793739943626158,0.997304364334729,0.0499062608606108,0.317450425935956,0.0118285118303754,0.741358455660488,0.751891164607145,0.924164993671918,0.672984014856058,1.68345950498378e-10,0.980764065341112,0.661290378601485,0.969804758692277,0.807229052560717,1.86703471814165e-201,0.67133436726557,0.897096090452625,0.998267907649494,2.66084364014433e-06,0.551325675666661
"3",8020,"08020 - METRO ROME","74 BOULEVARD DES BATIGNOLLES - 75008 PARIS",TRUE,TRUE,"OPEN","Paris",44,41,3,1464182512000,48.8821489456319,2.31986005477421,53.6891212463379,6,69,479,5.95837173461914,-35.0671340942383,4167.65181741986,5997.10237647057,4241.09940710242,162.941905482111,162.941905482111,2863071,253.309981188225,8.92162773485303,130.547445762892,136.823691024206,50.4287455610557,50.4287455610557,194.795308373795,147.079655741606,315.019521441782,423.124542229895,50.3151643674625,423.060417613931,159.908605646615,314.076413802624,3861.8555585363,66.722136066475,218.023564507486,124.205937859524,861.101562749025,809.565847454373,593,1172,7.65210319332352e-79,0.766821947808802,0.766821947808802,0.526418125988152,0.999204362273293,0.843305191749752,0.829271873332882,0.974890049790759,0.974890049790759,0.684236184733003,0.805474083482156,0.370695989022254,0.166902781568859,0.975001609074094,0.166993369738746,0.774368344275699,0.372901884912161,1.69680571884959e-65,0.956457968190158,0.621671943872446,0.857039603218164,0.000602177073615639,0.00142445126923148
"4",1022,"01022 - RUE DE LA PAIX","37 RUE CASANOVA - 75001 PARIS",TRUE,FALSE,"OPEN","Paris",37,1,36,1464182444000,48.8682170167744,2.33049351139917,34.795166015625,0,224,876,-18.9011032104492,-66.4451232910156,2395.35280416945,5255.33924411578,6504.93773470779,342.494898056712,342.494898056712,11717705,53.8079163136893,13.7013867522303,366.219126606395,297.14790791693,673.823583703379,171.088809769258,243.196186676467,139.47811039902,486.730266504962,1413.66179631256,82.0941469818075,470.893830868075,116.569807930927,162.179066416084,5802.96700496529,106.056406110636,100.126140956595,46.825129685111,1085.96390251103,466.390817131308,243,295,1.70490226523668e-184,0.3094287102159,0.3094287102159,0.971462201209626,0.998124480998609,0.261540930189658,0.413553333660722,0.0106693277484368,0.746235676609524,0.553527495625872,0.823212069564921,0.093568309801818,2.09356654700171e-09,0.934826349233751,0.108890771066764,0.872942839518039,0.768726141464828,5.67317010531073e-147,0.893615565267935,0.904609028776058,0.978312698238828,7.55594433330369e-06,0.113584986440548
"5",35014,"35014 - DE GAULLE (PANTIN)","139 AVENUE JEAN LOLIVE / MAIL CHARLES DE GAULLE - 93500 PANTIN",TRUE,FALSE,"OPEN","Paris",25,8,17,1464182181000,48.8932686646974,2.41271573338868,57.040355682373,15,77,148,3.73561172485351,-51.6279357910156,7738.39752478251,9341.37143312358,576.667234393607,65.8033135581152,65.8033135581152,3597030,73.7490456207835,48.1398004492517,313.872238878217,230.819471855696,230.819471855696,231.621892599405,1406.01265297992,2410.34567053363,523.980582066961,1534.36569563247,55.645883749002,661.746932132397,55.645883749002,231.710469612664,4679.50190122487,379.094183262928,311.043286601956,202.799582883193,6317.46368587436,445.372881741009,573,525,0.0359562990846641,0.957623331237307,0.957623331237307,0.947063421289582,0.977092060272922,0.373380294144665,0.58697310032974,0.58697310032974,0.584799040480401,2.59750153137932e-09,5.86821150391514e-26,0.0642125564657004,5.96348560747278e-11,0.969509850671621,0.0125367616109841,0.969509850671621,0.584559084707169,7.93107423970464e-96,0.23761014422916,0.380039812732342,0.662803503075448,4.69421996656967e-174,0.137577203712353
"6",20040,"20040 - PARC DE BELLEVILLE","57 & 36 RUE JULIEN LACROIX - 75020 PARIS",TRUE,FALSE,"OPEN","Paris",26,26,0,1464182188000,48.8703936716038,2.38422247271259,65.1639556884766,26,93,320,25.4224472045898,-17.2675025939941,3844.17776675468,6409.42996737081,5773.24356848839,401.99267282274,401.99267282274,3370640,318.571833727963,25.8580261392293,357.556220405335,183.966847161256,452.060923040436,332.45467668159,371.966700689485,478.671807696136,318.499337959906,392.139603668567,37.5652720841228,394.443606463986,142.14054889676,275.381712579716,6379.0419838194,600.123053641583,207.354554296242,230.400651008707,2939.39608331404,1812.40134980069,43,269,1.77078946613521e-145,0.198695636475234,0.198695636475234,0.36244587272825,0.9933359289094,0.278464552578506,0.712882970672064,0.129562643475574,0.331124407589859,0.250676437713972,0.101138239016164,0.362613306885446,0.214867292061828,0.985987603801917,0.211008347051412,0.817062770654725,0.468438303114226,1.8885231974768e-177,0.0272834006881122,0.650535693364971,0.588108043889132,2.99738483776821e-38,5.42376306684183e-15
"7",28002,"28002 - SOLJENITSYNE (PUTEAUX)","BOULEVARD ALEXANDRE SOLJENITSYNE - 92800 PUTEAUX",TRUE,FALSE,"OPEN","Paris",60,20,40,1464182387000,48.884478,2.24772065,36.8188858032227,0,0,16,-18.5814926147461,-58.8112537384033,11701.582540231,11461.6800900314,55.7211415205736,461.18696480943,461.18696480943,10280556,122.472461800148,170.54752358302,147.374630838539,77.1628093804377,751.972410030897,751.972410030897,769.959957483687,1110.20056640052,176.813606036454,3334.61900867451,68.9944293486788,901.912568191625,148.607693534773,363.022641099756,6611.25984348775,997.869764329122,133.739957522672,159.189053859124,8518.57132035938,1176.07935992856,596,519,0.969428597186015,0.119202188442635,0.119202188442635,0.860712246413182,0.74761691493869,0.804774779161305,0.942196910721003,0.00350128563209867,0.00350128563209867,0.00266278326956011,4.43735102143632e-06,0.731520149975956,5.1030082897946e-49,0.953512911555031,0.000293256528935125,0.801842988052927,0.267709088286953,1.49720567542294e-190,4.73738264855253e-05,0.836219816233152,0.776148393234603,7.07322115543014e-316,9.84013118179647e-07
"8",15111,"15111 - SERRES","48 RUE OLIVIER DE SERRES - 75015 PARIS",TRUE,FALSE,"OPEN","Paris",24,21,2,1464182551000,48.8346588627927,2.2957894803159,48.0691223144531,0,61,398,-7.0843978881836,-54.936971282959,6744.22156906711,7380.12498105031,3118.02870353016,309.065491126725,309.065491126725,5475951,52.5770175322121,9.30308098324528,217.153878626094,124.668406923415,931.720096844737,137.382625370598,390.002455217886,544.58828527371,617.945800103235,295.245566366316,15.9837533347271,129.149887444731,198.586033848985,389.336786318014,5396.17085351054,802.107332188692,210.745372191131,44.8865478249354,3315.0127670743,359.148990175695,19,485,5.9902253854008e-43,0.384729504224384,0.384729504224384,0.972735155356496,0.999134901256062,0.624029229212178,0.856053746496546,0.000169777230573061,0.828001877127556,0.218489100112425,0.0515210918549624,0.0219591774748046,0.418240168950847,0.9974484570269,0.846371462927097,0.674108549478492,0.219625527247889,3.46152072178039e-127,0.00160639663452846,0.641378111138229,0.980053593315272,1.87946658473414e-48,0.275303825427819
"9",12124,"12124 - PYRAMIDE ARTILLERIE","ROUTE DE L'ARTILLERIE - 75012 PARIS",TRUE,FALSE,"OPEN","Paris",55,30,23,1464182249000,48.8390411459082,2.43765533908295,50.0598106384277,0,16,54,3.94018859863281,-54.3189628601074,9901.19436573341,11140.9559233407,3745.97186401684,631.494817474829,631.494817474829,5426141,416.73979292615,644.483058830416,775.218709090213,778.734329620206,987.460260504185,963.751610009782,818.592856071461,1244.86876928533,817.32796122244,1529.90593670279,582.730879560695,937.94526216784,653.890335395989,191.980835955506,2615.25338201855,416.73979292615,815.627616597488,665.755616142714,6382.36267091796,1164.56204007821,316,1263,1.14412323788396e-61,0.0185394006832135,0.0185394006832135,0.176096955855818,0.0157080158819315,0.00245497065924451,0.002324450617785,5.82493478814173e-05,9.2512049416766e-05,0.00122975214244342,1.86099841048069e-07,0.00125546411506649,6.83676229817738e-11,0.0335153150168887,0.000151123503990553,0.0139019563069313,0.691725268009245,1.97792886256134e-30,0.176096955855818,0.00129081162786466,0.0118870535953707,1.23618352209842e-177,1.28847984150154e-06
"10",9021,"09021 - SAINT GEORGES","56 RUE SAINT GEORGES - 75009 PARIS",TRUE,FALSE,"OPEN","Paris",22,22,0,1464182084000,48.877872278318,2.33744680420367,39.2617530822754,5,184,787,-14.1181213378906,-62.5293151855469,2408.16343542305,5383.84173318749,5287.43204409254,63.9257140009647,63.9257140009647,1229469,140.09915642842,11.4295316575353,160.543336712037,196.85356714556,539.369895876166,270.88650757182,211.793470023673,498.211495454889,57.7999598031708,1271.17657876407,36.2095687810856,78.7753174688597,126.277097341648,349.539486298953,5487.65806961222,23.0132969538778,137.527252949793,41.8903990646091,1477.17038270736,757.817323326621,749,1286,3.84204638075495e-122,0.959958745284785,0.959958745284785,0.821783963726537,0.998694510954094,0.772794873615346,0.678742627969772,0.0545193908175946,0.480083611394406,0.638543971218137,0.0835636266044062,0.967143542459221,9.60017953603316e-08,0.986974250330567,0.939830718701665,0.85260487818251,0.294705559396165,1.64006568427113e-131,0.994717881342395,0.827672732743078,0.982605015114437,3.33851979785338e-10,0.00320555205517093
