"number";"cluster"
903;3
905;5
906;2
908;5
1001;3
1002;3
1003;3
1004;3
1005;3
1006;3
1007;3
1009;3
1010;3
1012;3
1013;3
1014;3
1015;3
1016;3
1017;3
1018;3
1019;3
1020;3
1022;3
1023;3
1024;3
1025;3
1026;3
1102;8
1116;3
2001;8
2002;8
2003;8
2004;8
2005;3
2006;3
2007;3
2008;1
2009;1
2010;1
2011;3
2012;1
2013;1
2014;3
2015;3
2016;8
2017;8
2020;3
2021;3
2022;1
2101;8
2102;1
2107;5
2108;1
3001;7
3002;8
3003;8
3004;3
3005;8
3006;8
3007;8
3008;8
3009;8
3010;8
3011;8
3012;8
3013;8
3014;8
3101;8
4001;3
4002;3
4003;8
4005;3
4006;5
4007;8
4009;8
4010;3
4011;3
4012;8
4013;8
4014;8
4015;8
4016;3
4017;3
4018;8
4019;8
4020;3
4021;3
4101;8
4103;8
4104;3
4105;3
4107;8
5001;3
5002;3
5003;6
5004;2
5005;6
5006;1
5007;3
5008;3
5009;3
5010;6
5012;6
5013;1
5014;1
5015;1
5016;6
5017;6
5018;3
5019;3
5020;3
5021;3
5022;1
5023;1
5024;2
5026;8
5027;8
5028;8
5029;2
5030;3
5031;1
5032;6
5033;3
5034;8
5035;1
5104;8
5105;8
5106;1
5107;8
5110;6
6001;8
6002;3
6003;3
6004;5
6005;6
6006;1
6007;6
6008;1
6009;1
6010;6
6012;3
6013;3
6014;3
6015;8
6016;3
6017;3
6018;1
6020;3
6021;3
6022;3
6024;3
6025;1
6026;5
6027;5
6028;3
6029;1
6030;1
6031;3
6032;3
6103;5
6104;6
6107;3
6108;7
7001;5
7002;7
7003;1
7004;1
7005;1
7006;8
7007;8
7008;5
7009;1
7010;1
7011;1
7012;5
7013;5
7014;8
7015;5
7016;5
7017;5
7018;8
7019;5
7020;7
7021;8
7022;5
7023;3
7024;5
7025;3
7026;5
7101;3
7102;1
7103;7
8001;5
8002;5
8003;6
8004;1
8005;3
8007;3
8008;8
8009;7
8010;6
8011;6
8012;6
8013;1
8015;1
8016;3
8017;5
8018;1
8019;1
8020;6
8025;1
8026;1
8027;5
8028;6
8029;1
8030;1
8031;3
8032;1
8033;1
8034;1
8035;1
