"number";"cluster"
903;2
905;1
906;3
908;1
1001;2
1002;2
1003;2
1004;2
1005;2
1006;2
1007;2
1009;2
1010;2
1012;2
1013;2
1014;2
1015;2
1016;2
1017;2
1018;2
1019;2
1020;2
1022;1
1023;2
1024;2
1025;2
1026;2
1102;2
1116;2
2001;2
2002;2
2003;2
2004;2
2005;2
2006;1
2007;1
2008;1
2009;1
2010;1
2011;1
2012;1
2013;1
2014;1
2015;1
2016;1
2017;1
2020;1
2021;1
2022;1
2101;2
2102;1
2107;1
2108;1
3001;2
3002;2
3003;2
3004;2
3005;2
3006;2
3007;2
3008;2
3009;2
3010;2
3011;2
3012;1
3013;2
3014;2
3101;1
4001;2
4002;2
4003;2
4005;2
4006;2
4007;2
4009;2
4010;2
4011;2
4012;2
4013;2
4014;2
4015;2
4016;2
4017;2
4018;2
4019;2
4020;2
4021;2
4101;2
4103;2
4104;2
4105;1
4107;2
5001;2
5002;2
5003;1
5004;3
5005;3
5006;3
5007;1
5008;2
5009;2
5010;3
5012;1
5013;1
5014;1
5015;1
5016;3
5017;3
5018;2
5019;2
5020;2
5021;1
5022;1
5023;1
5024;3
5026;2
5027;2
5028;2
5029;3
5030;1
5031;1
5032;3
5033;2
5034;2
5035;3
5104;2
5105;2
5106;1
5107;2
5110;3
6001;2
6002;1
6003;1
6004;2
6005;3
6006;1
6007;3
6008;1
6009;3
6010;3
6012;2
6013;2
6014;2
6015;2
6016;2
6017;1
6018;1
6020;2
6021;1
6022;2
6024;1
6025;1
6026;2
6027;2
6028;2
6029;1
6030;1
6031;1
6032;1
6103;1
6104;1
6107;1
6108;2
7001;1
7002;2
7003;1
7004;1
7005;1
7006;2
7007;1
7008;1
7009;1
7010;1
7011;1
7012;1
7013;2
7014;2
7015;1
7016;1
7017;1
7018;1
7019;2
7020;2
7021;1
7022;1
7023;2
7024;2
7025;2
7026;1
7101;1
7102;1
7103;2
8001;2
8002;2
8003;3
8004;1
8005;2
8007;2
8008;2
8009;2
8010;3
8011;3
8012;3
8013;1
8015;1
8016;1
8017;2
8018;1
8019;3
8020;3
8025;1
8026;1
8027;1
8028;3
8029;1
8030;1
8031;1
8032;1
8033;1
8034;1
8035;1
8036;1
8037;3
8038;1
