"","number","name","address","lat","lon","lon2"
"1",903,"00903 - QUAI MAURIAC  / PONT DE BERCY","FETE DE L'OH (BERCY) - QUAI MAURIAC ANG PONT DE BERCY - 75013 PARIS",48.8371336894515,2.37434055460561,1.5620973889382
"2",905,"00905 - CONCORDE/BERGES DE SEINE (STATION MOBILE)","QUAI D'ORSAY - CONCORDE - 75007 PARIS",48.86314,2.31669,1.52416863409064
"3",906,"00906 - GARE DE L'EST","GARE DE L'EST-PARVIS GARE DE L'EST - 75010 PARIS",48.8764198136411,2.3586300645446,1.55176133354141
"4",908,"00908 - PORT DU GROS CAILLOU (STATION MOBILE)","QUAI D'ORSAY - PORT DU GROS CAILLOU - 75007 PARIS",48.86288,2.30652,1.51747771083
"5",1001,"01001 - ILE DE LA CITE PONT NEUF","41 QUAI DE L'HORLOGE - 75001 PARIS",48.8570916352182,2.34174799515786,1.54065448686024
"6",1002,"01002 - PLACE DU CHATELET","14 AVENUE VICTORIA - 75001 PARIS",48.857940092963,2.34701005811449,1.54411643960709
"7",1003,"01003 - RIVOLI SAINT DENIS","7 RUE SAINT DENIS - 75001 PARIS",48.8591502872556,2.34762008768451,1.5445177828755
"8",1004,"01004 - MARGUERITE DE NAVARRE","12 RUE DES HALLES - 75001 PARIS",48.8598963144415,2.34675666754872,1.54394973195414
"9",1005,"01005 - LES HALLES - SEBASTOPOL","3 RUE DE LA COSSONNERIE - 75001 PARIS",48.8612620697647,2.34939999975017,1.54568880107039
"10",1006,"01006 - GRANDE TRUANDERIE","2-4 rue DE LA GRANDE TRUANDERIE 75001 PARIS",48.8626318041594,2.34973214483098,1.54590732194031
"11",1007,"01007 - ETIENNE MARCEL","2 RUE DE TURBIGO - 75001 PARIS",48.8635670471195,2.3477020211411,1.5445716875432
"12",1009,"01009 - PONT NEUF - 14","14 RUE DU PONT NEUF - 75001 PARIS",48.8602451945326,2.34433354527384,1.54235554068645
"13",1010,"01010 - PONT NEUF","10 RUE BOUCHER - 75001 PARIS",48.8594623892453,2.34436612844611,1.54237697741263
"14",1012,"01012 - BOURSE DU COMMERCE","FACE 29 RUE JEAN JACQUES ROUSSEAU - 75001 PARIS",48.8629981667678,2.34155507782723,1.54052756502593
"15",1013,"01013 - SAINT HONORE","186 RUE SAINT HONORE - 75001 PARIS",48.862430234764,2.33852013115178,1.53853084965665
"16",1014,"01014 - RIVOLI MUSEE DU LOUVRE","5 RUE DE L'ECHELLE - 75001 PARIS",48.8636722553657,2.33405760804708,1.53559492048828
"17",1015,"01015 - PLACE ANDRE MALRAUX","2 PLACE ANDRE MALRAUX - 75001 PARIS",48.8639796551511,2.33559960389384,1.53660941172514
"18",1016,"01016 - OPERA PYRAMIDES","27 RUE THERESE - 75001 PARIS",48.8664835145089,2.33443342122379,1.53584217094311
"19",1017,"01017 - SAINT HONORE","215 RUE SAINT HONORE - 75001 PARIS",48.8655711428242,2.33056741757715,1.53329869663387
"20",1018,"01018 - RIVOLI TUILERIE","2 RUE D'ALGER - 75001 PARIS",48.8647936661262,2.32943142194585,1.53255131614287
"21",1019,"01019 - SAINT HONORE VENDOME","237 RUE SAINT HONORE - 75001 PARIS",48.8666980084735,2.32828818571664,1.53179917200537
"22",1020,"01020 - RIVOLI CONCORDE","2 RUE CAMBON - 75001 PARIS",48.8662852211561,2.32524904508358,1.52979969739827
