"","number","name","address","lat","lon","nombre","effectif","eff_00","eff_01","eff_02","eff_03","eff_05","eff_06","eff_07","eff_08","eff_09","eff_10","eff_11","eff_12","eff_13","eff_14","eff_15","eff_16","eff_17","eff_18","eff_19","eff_20","eff_21","eff_22","eff_23","eff_24","eff_25","eff_26","eff_27","eff_28","eff_29","eff_30","eff_31","eff_32","eff_33","eff_35","eff_36","eff_37","eff_38","eff_39","eff_41","eff_42","eff_43","eff_45","eff_46","eff_47","eff_49","eff_50","eff_51","eff_52","eff_53","eff_55","eff_56","eff_58","eff_59","eff_60","eff_61","eff_62","eff_63","eff_64","eff_65","eff_66","eff_68","eff_69","eff_70","eff_71","eff_72","eff_73","eff_74","eff_75","eff_77","eff_78","eff_79","eff_80","eff_81","eff_82","eff_84","eff_85","eff_86","eff_87","eff_88","eff_90","eff_91","eff_92","eff_93","eff_94","eff_95","eff_96","eff_99","nb_00","nb_01","nb_02","nb_03","nb_05","nb_06","nb_07","nb_08","nb_09","nb_10","nb_11","nb_12","nb_13","nb_14","nb_15","nb_16","nb_17","nb_18","nb_19","nb_20","nb_21","nb_22","nb_23","nb_24","nb_25","nb_26","nb_27","nb_28","nb_29","nb_30","nb_31","nb_32","nb_33","nb_35","nb_36","nb_37","nb_38","nb_39","nb_41","nb_42","nb_43","nb_45","nb_46","nb_47","nb_49","nb_50","nb_51","nb_52","nb_53","nb_55","nb_56","nb_58","nb_59","nb_60","nb_61","nb_62","nb_63","nb_64","nb_65","nb_66","nb_68","nb_69","nb_70","nb_71","nb_72","nb_73","nb_74","nb_75","nb_77","nb_78","nb_79","nb_80","nb_81","nb_82","nb_84","nb_85","nb_86","nb_87","nb_88","nb_90","nb_91","nb_92","nb_93","nb_94","nb_95","nb_96","nb_99"
"1",901,"00901 - PORT SOLFÉRINO (STATION MOBILE)","QUAI ANATOLE FRANCE - PONT SOLFERINO - 75007 PARIS",48.86138,2.32442,203,735,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,20,3,6,0,0,0,0,0,21,0,1,20,1,301,6,0,1,0,0,1,0,0,0,8,0,300,0,0,0,0,1,0,0,0,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,6,0,1,0,0,0,1,3,4,2,0,0,1,1,10,0,5,80,10,13,1,0,1,0,0,2,0,0,0,9,2,3,3,8,0,0,6,0,0,2,19,0,0,0
"2",903,"00903 - QUAI MAURIAC  / PONT DE BERCY","FETE DE L'OH (BERCY) - QUAI MAURIAC ANG PONT DE BERCY - 75013 PARIS",48.8371336894515,2.37434055460561,202,229,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,1,0,0,0,0,58,0,0,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,21,20,1,36,6,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,10,4,2,0,0,4,0,11,0,3,0,0,6,0,3,0,0,33,1,17,4,0,1,10,0,1,0,1,0,3,4,3,12,9,3,2,24,0,0,3,15,0,1,0
"3",905,"00905 - CONCORDE/BERGES DE SEINE (STATION MOBILE)","QUAI D'ORSAY - CONCORDE - 75007 PARIS",48.86314,2.31669,84,3090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,1,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2920,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,1,1,3,0,0,2,1,2,0,0,1,0,7,1,0,9,1,4,0,2,1,1,0,1,0,0,0,0,1,15,0,1,0,1,3,0,0,3,15,0,0,0
"4",906,"00906 - GARE DE L'EST","GARE DE L'EST-PARVIS GARE DE L'EST - 75010 PARIS",48.8764198136411,2.3586300645446,157,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,250,0,0,200,0,134,440,0,0,0,0,0,1,3,0,6,5,0,3,10,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,35,3,0,0,1,0,14,23,1,1,0,1,0,1,3,0,2,25,0,5,5,0,0,3,0,2,0,2,1,5,0,1,3,0,2,0,2,0,0,0,6,0,3,0
"5",908,"00908 - PORT DU GROS CAILLOU (STATION MOBILE)","QUAI D'ORSAY - PORT DU GROS CAILLOU - 75007 PARIS",48.86288,2.30652,906,2117,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,19,0,101,2,0,20,0,0,0,10,57,1,0,0,0,0,56,58,0,29,17,160,597,1,500,9,70,0,0,0,0,53,32,19,0,23,130,0,30,0,0,0,3,25,0,1,69,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,2,0,0,1,2,1,6,0,0,0,0,7,0,8,2,28,10,3,1,0,1,1,1,19,6,7,0,0,6,3,48,2,15,199,189,58,7,2,4,12,0,8,0,2,2,56,13,0,17,48,0,4,21,1,0,5,44,1,5,10
"6",1001,"01001 - ILE DE LA CITE PONT NEUF","41 QUAI DE L'HORLOGE - 75001 PARIS",48.8570916352182,2.34174799515786,330,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,3,0,10,85,6,3,0,0,0,0,21,0,0,4,12,3,0,1,0,0,0,0,0,0,0,19,1,1120,0,10,0,0,0,20,0,0,43,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,6,21,0,0,0,3,0,3,19,3,16,0,0,4,1,8,0,2,65,17,17,4,1,1,5,0,1,0,0,1,37,1,6,10,11,0,1,14,4,0,1,39,0,1,0
"7",1002,"01002 - PLACE DU CHATELET","14 AVENUE VICTORIA - 75001 PARIS",48.857940092963,2.34701005811449,366,1030,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,0,0,0,3,0,40,127,1,0,0,0,0,0,1,0,3,64,15,13,1,6,0,1,0,0,0,3,0,7,5,0,0,0,0,106,500,0,0,0,50,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,12,39,1,0,0,1,1,5,29,4,1,0,0,6,1,14,0,6,39,78,26,4,12,1,8,0,1,0,1,1,12,7,1,3,5,0,4,11,0,0,2,19,0,4,0
"8",1003,"01003 - RIVOLI SAINT DENIS","7 RUE SAINT DENIS - 75001 PARIS",48.8591502872556,2.34762008768451,934,1071,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,3,18,310,0,0,0,0,0,4,266,0,5,10,1,47,3,14,0,3,28,67,18,14,0,7,4,0,0,0,7,0,23,5,50,27,1,0,0,45,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,0,1,0,0,13,0,11,1,34,88,2,0,0,1,2,3,62,7,13,3,1,11,5,12,1,11,149,243,50,11,3,9,11,0,5,0,5,0,25,14,1,9,29,0,2,30,0,0,3,25,1,11,0
"9",1004,"01004 - MARGUERITE DE NAVARRE","12 RUE DES HALLES - 75001 PARIS",48.8598963144415,2.34675666754872,717,1708,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,42,735,0,0,0,0,10,131,211,1,27,0,0,17,0,35,100,2,26,29,6,10,201,2,1,0,20,1,13,0,9,1,3,0,1,0,0,2,0,0,4,20,0,35,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,1,4,0,30,114,3,0,0,0,3,5,52,8,13,0,2,18,2,27,2,9,122,52,51,5,5,4,8,0,1,3,4,2,19,10,2,9,12,0,1,43,1,0,9,25,1,15,0
"10",1005,"01005 - LES HALLES - SEBASTOPOL","3 RUE DE LA COSSONNERIE - 75001 PARIS",48.8612620697647,2.34939999975017,720,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,31,0,32,1,43,326,14,0,0,3,0,10,266,0,1,0,7,51,0,27,20,3,29,21,15,2,0,2,1,0,1,0,0,0,6,10,6,60,0,21,0,2,0,0,0,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,1,0,35,1,32,3,44,93,10,0,0,1,8,3,41,5,10,1,4,29,6,26,1,5,106,15,47,8,0,8,14,0,4,0,4,0,16,16,4,18,2,2,2,32,0,0,2,33,2,13,0
