NOM ETABLISSEMENT;ADRESSE;CODE POSTAL;COMMUNE;CODE DEPARTEMENT;REGION;FAUTEUILS;SEANCES;TRANCHE D'ENTREES
KINEPOLIS 1;ZA DU GRAND BUT;59160;LOMME;59;NORD-PAS-DE-CALAIS;7 408;34 198;De 2 à 3 millions d'entrées
UGC CINE CITE 9;25 ROUTE DU RHIN;67000;STRASBOURG;67;ALSACE;5 412;43 474;De 1,5 à 2 millions d'entrées
KINEPOLIS 1;175 AVENUE ROBERT SCHUMAN;68100;MULHOUSE;68;ALSACE;4 533;20 993;De 500 à 1 million d'entrées
UGC CINE CITE BERCY 10;2 COUR SAINT-EMILION;75012;PARIS 12ME;75;ILE-DE-FRANCE;4 440;39 835;De 2 à 3 millions d'entrées
GRAND REX;1 A 5 BD POISSONNIERE;75002;PARIS 2ME;75;ILE-DE-FRANCE;4 274;13 739;De 500 à 1 million d'entrées
KINEPOLIS 13;10 AV PAUL LANGEVIN;57070;SAINT-JULIEN-LES-METZ;57;LORRAINE;4 058;21 930;De 500 à 1 million d'entrées
GAUMONT DISNEY VILLAGE 1;1 ESPLANADE FRANCOIS TRUFFAUT;77705;CHESSY;77;ILE-DE-FRANCE;3 923;28 972;De 1 à 1,5 million d'entrées
GAUMONT MULTIPLEXE 1;235 RUE GEORGES MELIES;34000;MONTPELLIER;34;LANGUEDOC-ROUSSILLON;3 919;32 925;De 1 à 1,5 million d'entrées
UGC CINE CITE LES HALLES 1;7 PLACE DE LA ROTONDE;75001;PARIS 1ER;75;ILE-DE-FRANCE;3 894;67 794;Plus de 3 millions d'entrées
PATHE 1;5 RUE FRANCOIS MITTERRAND;94200;IVRY-SUR-SEINE;94;ILE-DE-FRANCE;3 830;29 342;De 1 à 1,5 million d'entrées
GAUMONT 1;26 BD PIERRE BROSSOLETTE;76120;LE GRAND-QUEVILLY;76;HAUTE-NORMANDIE;3 828;28 786;De 500 à 1 million d'entrées
MEGARAMA 1;44 AVENUE DE LA LONGUE BERTRANE;92390;VILLENEUVE-LA-GARENNE;92;ILE-DE-FRANCE;3 728;31 965;De 500 à 1 million d'entrées
